SHIPNUM,DATESHIPPED,CUSTOMERNUMBER,MODEL1,IMEI1
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807840
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370798577
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808467
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807972
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807741
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808731
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807964
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807618
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808293
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809317
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808012
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370837466
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807576
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807659
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809507
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808756
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807808
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809390
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809374
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809457
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809200
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809424
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807675
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370807766
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370808806
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809358
S160342,6/5/2025,993,SM-S721BZAKTPA,351976370809093
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370663508
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370663540
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370663607
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370663474
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370663524
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370663581
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370097434
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370095222
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370095347
S160342,6/5/2025,993,SM-S721BLBKTPA,351976370095453
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664514
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663862
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663995
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664548
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664456
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662773
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664365
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664282
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663896
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664415
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664480
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663201
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370724854
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664134
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664225
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662765
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370724888
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664035
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663938
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663672
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662666
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662641
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662625
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664084
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663433
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662989
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663318
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664423
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663235
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662781
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664449
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662807
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664613
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664464
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370664571
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662732
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370663136
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662633
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662757
S160348,6/5/2025,152,SM-S721BLBKTPA,351976370662856
S160315 - SM,6/6/2025,2106,SM-S721BZKKTPA,351976370079713
S160315 - SM,6/6/2025,2106,SM-S721BZKKTPA,351976370078772
S160315 - SM,6/6/2025,2106,SM-S721BZAKTPA,351976370273829
S160315 - SM,6/6/2025,2106,SM-S721BZAKTPA,351976370273506
S160315 - SM,6/6/2025,2106,SM-S721BLBKTPA,351976370094050
S160315 - SM,6/6/2025,2106,SM-S721BLBKTPA,351976370095768
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370097459
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370097707
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370097939
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370093458
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370093615
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370093482
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370097855
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370097814
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370097566
S160475,6/10/2025,636,SM-S721BLBKTPA,351976370098150
